complaint_id,true_product,baseline_pred,llm_raw_output,llm_pred,latency_s,error
9902340,Checking or savings account,"Money transfer, virtual currency, or money service",Checking or savings account,Checking or savings account,1.8227899074554443,
9924923,Checking or savings account,"Money transfer, virtual currency, or money service",Checking or savings account,Checking or savings account,6.065564155578613,
9949138,Checking or savings account,"Money transfer, virtual currency, or money service",Checking or savings account,Checking or savings account,2.415783405303955,
9984685,Checking or savings account,"Money transfer, virtual currency, or money service",Credit card,Credit card,4.741129398345947,
9916133,Checking or savings account,Checking or savings account,Checking or savings account,Checking or savings account,1.248096227645874,
9910233,Checking or savings account,"Money transfer, virtual currency, or money service",Checking or savings account,Checking or savings account,2.7396676540374756,
9985411,Checking or savings account,Checking or savings account,Checking or savings account,Checking or savings account,3.239490509033203,
9939645,Checking or savings account,Checking or savings account,Credit card,Credit card,3.2413713932037354,
9926726,Checking or savings account,Checking or savings account,Checking or savings account,Checking or savings account,3.565295696258545,
9897129,Checking or savings account,Checking or savings account,Checking or savings account,Checking or savings account,2.9277873039245605,
9981124,Checking or savings account,Checking or savings account,Checking or savings account,Checking or savings account,3.4585983753204346,
9993284,Checking or savings account,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",0.9906203746795654,
9902521,Checking or savings account,Checking or savings account,Checking or savings account,Checking or savings account,2.446604013442993,
9985913,Checking or savings account,Checking or savings account,Checking or savings account,Checking or savings account,6.5972206592559814,
9975722,Checking or savings account,Checking or savings account,Checking or savings account,Checking or savings account,2.092108726501465,
9981260,Checking or savings account,Checking or savings account,Checking or savings account,Checking or savings account,2.743194580078125,
9926137,Checking or savings account,Checking or savings account,Checking or savings account,Checking or savings account,3.3725948333740234,
9986424,Checking or savings account,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",1.5061829090118408,
9947870,Checking or savings account,Checking or savings account,Checking or savings account,Checking or savings account,1.5988619327545166,
9997525,Checking or savings account,Checking or savings account,Credit card,Credit card,3.2376387119293213,
9926691,Checking or savings account,"Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service","Money transfer, virtual currency, or money service",3.5639140605926514,
9962780,Checking or savings account,Checking or savings account,Checking or savings account,Checking or savings account,2.268167495727539,
9897208,Checking or savings account,Checking or savings account,Checking or savings account,Checking or savings account,7.922046184539795,
9933757,Checking or savings account,Credit card,Checking or savings account,Checking or savings account,2.5579841136932373,
9993128,Checking or savings account,Checking or savings account,Checking or savings account,Checking or savings account,1.5279903411865234,
9992059,Checking or savings account,"Money transfer, virtual currency, or money service",Checking or savings account,Checking or savings account,1.626556634902954,
9916093,Checking or savings account,Checking or savings account,Checking or savings account,Checking or savings account,2.6104493141174316,
9985084,Checking or savings account,Checking or savings account,Checking or savings account,Checking or savings account,8.021080732345581,
9935452,Checking or savings account,Checking or savings account,Checking or savings account,Checking or savings account,2.7039670944213867,
9926357,Checking or savings account,Checking or savings account,Checking or savings account,Checking or savings account,2.638848066329956,
9909347,Checking or savings account,Credit card,Checking or savings account,Checking or savings account,3.1588134765625,
9926703,Checking or savings account,Checking or savings account,Checking or savings account,Checking or savings account,2.96465802192688,
9978823,Checking or savings account,Checking or savings account,Checking or savings account,Checking or savings account,2.831179618835449,
9921608,Checking or savings account,Checking or savings account,Checking or savings account,Checking or savings account,1.944995641708374,
