company,complaint_count,pct_timely_response,distinct_products
MOHELA,194,100.0,1
JPMORGAN CHASE & CO.,193,100.0,5
WELLS FARGO & COMPANY,142,100.0,6
"BANK OF AMERICA, NATIONAL ASSOCIATION",138,98.6,5
"Paypal Holdings, Inc",116,100.0,3
"Navient Solutions, LLC.",108,100.0,1
CAPITAL ONE FINANCIAL CORPORATION,104,100.0,4
"CITIBANK, N.A.",95,100.0,4
"Shellpoint Partners, LLC",91,98.9,1
"Block, Inc.",69,100.0,3
"Nelnet, Inc.",64,100.0,1
ALLY FINANCIAL INC.,57,100.0,4
"SANTANDER HOLDINGS USA, INC.",48,100.0,3
Chime Financial Inc,46,100.0,3
Mr. Cooper Group Inc.,46,100.0,1
GOLDMAN SACHS BANK USA,44,100.0,3
SYNCHRONY FINANCIAL,44,100.0,3
AMERICAN EXPRESS COMPANY,40,100.0,3
EdFinancial Services,40,42.5,1
TRUIST FINANCIAL CORPORATION,37,100.0,5
NAVY FEDERAL CREDIT UNION,36,100.0,5
CREDIT ACCEPTANCE CORPORATION,36,100.0,1
U.S. BANCORP,35,100.0,5
"Maximus Federal Services, Inc.",32,100.0,1
"Coinbase, Inc.",32,100.0,1
